SYMBOL,source,source_id,module,component
TRIM71,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
TRIM72,ORGDB_GOALL,GO:0006511,UPS,GO
TRIM72,ORGDB_GOALL,GO:0043161,UPS,GO
TRIM9,ORGDB_GOALL,GO:0006511,UPS,GO
TRIM9,ORGDB_GOALL,GO:0043161,UPS,GO
TRIM9,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
TRIP12,ORGDB_GOALL,GO:0006511,UPS,GO
TRIP12,ORGDB_GOALL,GO:0043161,UPS,GO
TRIP12,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
TRIP4,ORGDB_GOALL,GO:0006511,UPS,GO
TRIP4,ORGDB_GOALL,GO:0043161,UPS,GO
TRIP4,ORGDB_GOALL,GO:1990116,UPS,GO
TRPC4AP,ORGDB_GOALL,GO:0006511,UPS,GO
TRPC4AP,ORGDB_GOALL,GO:0043161,UPS,GO
TRPC4AP,ORGDB_GOALL,GO:0140627,UPS,GO
TRRAP,MSIGDB_C2_CP:REACTOME,REACTOME_DEUBIQUITINATION,UPS,REACTOME
TSG101,ORGDB_GOALL,GO:0006511,UPS,GO
TSG101,ORGDB_GOALL,GO:0043162,UPS,GO
TSG101,ORGDB_GOALL,GO:0043328,UPS,GO
TTC3,ORGDB_GOALL,GO:0006511,UPS,GO
TTC36,ORGDB_GOALL,GO:0006511,UPS,GO
TTC36,ORGDB_GOALL,GO:0032434,UPS,GO
TTC36,ORGDB_GOALL,GO:0032435,UPS,GO
TTC36,ORGDB_GOALL,GO:0043161,UPS,GO
TTC36,ORGDB_GOALL,GO:2000058,UPS,GO
TTC36,ORGDB_GOALL,GO:2000059,UPS,GO
TXNL1,ORGDB_GOALL,GO:0000502,UPS,GO
UBA1,ORGDB_GOALL,GO:0006511,UPS,GO
UBA1,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBA1,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBA1,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBA3,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBA5,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBA52,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBA52,MSIGDB_C2_CP:REACTOME,REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,UPS,REACTOME
UBA52,MSIGDB_C2_CP:REACTOME,REACTOME_DEUBIQUITINATION,UPS,REACTOME
UBA52,MSIGDB_C2_CP:REACTOME,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,UPS,REACTOME
UBA52,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBA52,MSIGDB_C2_CP:REACTOME,REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION,UPS,REACTOME
UBA52,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
UBA52,MSIGDB_C2_CP:REACTOME,REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D,UPS,REACTOME
UBA6,ORGDB_GOALL,GO:0006511,UPS,GO
UBA6,MSIGDB_C2_CP:REACTOME,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,UPS,REACTOME
UBA6,MSIGDB_C2_CP:REACTOME,REACTOME_PROTEIN_UBIQUITINATION,UPS,REACTOME
UBA6,MSIGDB_C2_CP:REACTOME,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,UPS,REACTOME
